episode_id,customer_id,sequence_number,customer_node_index,order_count,refund_count,refund_amount_total,chargeback_count,account_age_days,requested_amount,evidence_available,evidence_count,previous_refund_count,previous_refund_amount,previous_support_decisions,previous_support_approvals,previous_support_evidence_requests,previous_support_escalations,previous_support_denials,time_since_previous_request_hours,support_decision,is_abusive
EPISODE_00001,CUSTOMER_0001,1,0,8,3,5920.91,0,866,1278.3,1,1,3,5920.91,0,0,0,0,0,999.0,APPROVE,1
EPISODE_00001,CUSTOMER_0001,2,0,8,3,5920.91,0,866,559.11,0,0,3,5920.91,1,1,0,0,0,1.4,REQUEST_EVIDENCE,1
EPISODE_00001,CUSTOMER_0001,3,0,8,3,5920.91,0,866,7803.58,0,0,3,5920.91,2,1,1,0,0,43.68333333333333,REQUEST_EVIDENCE,1
EPISODE_00001,CUSTOMER_0001,4,0,8,3,5920.91,0,866,810.38,1,1,3,5920.91,3,1,2,0,0,3.65,APPROVE,1
EPISODE_00001,CUSTOMER_0001,5,0,8,3,5920.91,0,866,2103.73,1,1,3,5920.91,4,2,2,0,0,16.166666666666668,APPROVE,1
EPISODE_00001,CUSTOMER_0001,6,0,8,3,5920.91,0,866,1647.65,0,0,3,5920.91,5,3,2,0,0,12.833333333333334,REQUEST_EVIDENCE,1
EPISODE_00001,CUSTOMER_0001,7,0,8,3,5920.91,0,866,7566.1,0,0,3,5920.91,6,3,3,0,0,3.933333333333333,REQUEST_EVIDENCE,1
EPISODE_00001,CUSTOMER_0001,8,0,8,3,5920.91,0,866,1662.65,1,1,3,5920.91,7,3,4,0,0,9.6,APPROVE,1
EPISODE_00001,CUSTOMER_0001,9,0,8,3,5920.91,0,866,2540.21,0,0,3,5920.91,8,4,4,0,0,19.5,REQUEST_EVIDENCE,1
EPISODE_00001,CUSTOMER_0001,10,0,8,3,5920.91,0,866,8036.76,0,0,3,5920.91,9,4,5,0,0,9.633333333333333,REQUEST_EVIDENCE,1
EPISODE_00002,CUSTOMER_0002,1,12,4,0,674.43,0,959,3944.48,1,1,0,674.43,0,0,0,0,0,999.0,APPROVE,0
